ethnic_group_code,ethnic_group,ethnic_group_countries
che,Chechen,"AZE, EGY, GEO, IRN, IRQ, JOR, KAZ, RUS, SYR, TUR"
chr,Cherokee,USA
chw,Chewa,MWI
nya,Chewa (Nyanja speakers),"MOZ, MWI, ZMB, ZWE"
chy,Cheyenne,USA
chl,Chileans,"ARG, BRA, CHL, DEU, ESP, FRA, SWE, USA, VEN"
chi,Chinese (Mainland Chinese),"AUS, BRA, CAN, CHN, ESP, FRA, GBR, IDN, IND, ITA, KHM, KOR, LAO, MMR, MYS, NLD, NZL, PER, PHL, PRK, SGP, THA, USA, VNM, ZAF"
chn,Chinook,USA
chp,Chipewyan,CAN
cho,Choctaw,USA
cht,Ch'orti' (Chorti),"GTM, HND"
chc,Chukchi,RUS
chk,Chuukese,FSM
chv,Chuvash,"BLR, KAZ, KGZ, MDA, RUS, TKM, UZB"
col,Colombian,"ARG, AUS, BRA, CAN, COL, CRI, ESP, GBR, ISR, ITA, MEX, USA, VEN"
rar,Cook Islands Maori,"COK, NZL"
cor,Cornish,"AUS, CAN, GBR, MEX, NZL, USA, ZAF"
cos,Corsican,FRA
csr,Costa Ricans,"CRI, NIC, PAN"
cot,Cotiers,MDG
cre,Cree,"CAN, USA"
crp,Creole,"BLZ, CPV, DMA, GLP, GMB, GNB, GNQ, HTI, JAM, LCA, MTQ, NGA, SEN, SLE, STP, TTO"
crh,Crimean Tatar,"BGR, ROM, TUR, UKR, UZB"
hrv,Croats,"ARG, AUS, AUT, BIH, CAN, CHE, CHL, DEU, DNK, FRA, HRV, HUN, ITA, MTN, NOR, ROM, SRB, SVN, SWE, USA, ZAF"
cus,Cushitic,"EGY, KEN, SDN, SOM, TZA"
cze,Czech,"ARG, AUS, AUT, BRA, CAN, CHE, CZE, DEU, ESP, FRA, GBR, HRV, ISR, IRL, ITA, MEX, NLD, POL, ROM, RUS, SRB, SVK, SVN, SWE, UKR, USA, ZAF"
dai,Dai,"CHN, LAO, THA"
dal,Dalit (Backward classes/castes),"BGD, IND, LKA, NPL, PAK"
dam,Damara,NAM
dan,Danes,"AUS, AUT, BRA, CAN, CHE, DEU, DNK, ESP, FRA, GBR, IRL, ISL, NOR, NZL, SWE, USA"
dar,Dargwa (Dargins),RUS
dau,Daur,CHN
day,Dayak,"BRN, IDN, MYS"
din,Dinka,SDN
dje,Djerma-Songhai,NER
doi,Dogras,"IND, PAK"
dgr,Dogrib,CAN
dom,Dominicans,"DOM, HTI, USA"
don,Dong,"CHN, VNM"
dox,Dongxiang,CHN
dra,Dravidian,"IND, LKA, PAK"
dru,Druze,"AUS, CAN, ISR, JOR, LBN, SYR, USA, VEN"
dua,Duala,CMR
dut,Dutch (Flemings),"AUS, CAN, BEL, BRA, NLD, NZL, USA, ZAF"
dyu,Dyula,"BFA, GNB, MLI, SEN"
ein,East Indian,"MYS, TTO"
eat,East Timorese,"IDN, TMP"
ecu,Ecuadorians,"CHL, COL, ECU, ESP, PER, PRY, USA, VEN"
bin,Edo,NGA
e,Ek,"CMR, NGA"
eka,Ekajuk,NGA
eng,English,"CAN, GBR, IRL, NZL, ZAF"
cpe,English-Creole,"BLZ, JAM, NGA, SLE"
esh,Eshira (Bapounou),GAB
est,Estonian,"BEL, CAN, EST, FIN, GBR, IRL, LVA, NOR, RUS, SWE, UKR, USA"
eur,Europeans,ZWE
eve,Evenks,"CHN, RUS"
ewe,Ewe,"BEN, GHA, TGO"
ewo,Ewondo,CMR
fan,Fang (Estuary Fang),"COG, GAB, GNQ"
fat,Fante,GHA
fao,Faroese,"DNK, ISL, NOR"
j,Fijian,"AUS, FJI, GBR, NZL, USA"
l,Filipino,"ARE, AUS, CAN, CHN, ESP, ISR, ITA, JPN, KOR, KWT, MYS, NGA, NLD, NOR, NZL, PAK, PHL, QAT, SAU, USA"
u,Finno-Ugric,"CAN, EST, FIN, HUN, NZL, ROM, RUS, SVK, SWE, USA"
n,Finns,"ARE, AUS, CAN, CHE, DEU, DNK, ESP, EST, FIN, FRA, NLD, NOR, RUS, SWE, USA"
fon,Fon,"BEN, NGA"
fre,French,"BEL, BRA, CAN, CHE, FRA, GBR, USA"
cpf,French-Creole,"DMA, GLP, HTI, LCA, MTQ, TTO"
frr,Frisians,DEU
fur,Friulan,ITA
ful,Fula (Fulani),"BEN, BFA, CAF, CIV, CMR, GIN, GMB, GNB, LBR, MRT, NER, NGA, SDN, SEN, SLE, TCD, TGO"
fru,Fur,SDN
ada,Ga (Ga-Adangbe),"CAN, DEU, GBR, GHA, TGO, USA"
gla,Gaels,"GBR, IRL"
glg,Galician,"AND, ARG, BRA, CHE, CUB, DEU, ESP, FRA, GBR, MEX, NLD, PRT, URY, USA, VEN"
gar,Garifuna (Garifs),"BLZ, GTM, HND, NIC"
gay,Gayo,IDN
gba,Gbaya (Baya),"CAF, CMR, COD, COG"
gel,Gelao (Gelo),CHN
geo,Georgian,"ARM, AZE, BRA, CAN, FRA, GBR, GEO, GRC, ISR, ITA, KAZ, RUS, SGP, TUR, UKR, USA"
ger,German,"ARG, AUS, AUT, BEL, BOL, BRA, CAN, CHE, CZE, DEU, DNK, ECU, ESP, FRA, GBR, GRC, HUN, ISR, ITA, KAZ, NAM, NOR, POL, ROM, RUS, URY, ZAF"
gia,Gia Rai,VNM
gin,Gin (Jing),CHN
gio,Gio,"CIV, LBR"
gon,Gondi,IND
gor,Gorontalonese (Gorontalos),IDN
gra,Grasselders,CMR
grb,Grebo,"CIV, LBR"
gre,Greek,"ALB, ARG, AUS, BEL, BRA, CAN, CHE, CYP, DEU, FRA, GBR, GER, GRC, KAZ, ROM, RUS, SWE, UKR, USA, UZB"
gun,Guan,GHA
grn,Guarani,"ARG, BOL, BRA, PRY"
gua,Guatemalan,"BLZ, CRI, GTM, HND, MEX, NIC, USA"
guj,Gujarati,"AUS, CAN, GBR, IND, KEN, MDG, MUS, MWI, MYS, SGP, TTO, TZA, UGA, USA, ZAF"
gwi,Gwich'in,"CAN, USA"
had,Hadjerai,TCD
hai,Haida,"CAN, USA"
hat,Haitian,"DOM, ESP, FRA, HTI, USA"
hni,Hani,"CHN, VNM"
har,Harari,ETH
hrt,Haratin (Black Moors),"MRT, MAR"
hau,Hausa (Hausa-Fulani),"BEN, BFA, CIV, CMR, ERI, GHA, NER, NGA, SDN, TCD, TGO"
haw,Hawaiian,USA
haz,Hazara,"AFG, PAK"
her,Herero,"AGO, BWA, NAM"
hil,Hiligayon,PHL
hgh,Hill Tribes,"MDG, THA"
him,Himachali,IND
hmo,Hiri Motu,PNG
hmn,Hmong,"AUS, CAN, CHN, DEU, FRA, LAO, THA, USA, VNM"
hoa,Hoa,VNM
hon,Hondurans,"GTM, HND, MEX, SLV, USA"
hui,Hui,CHN
hun,Hungarian,"BRA, CAN, CHL, CZE, GBR, HRV, HUN, IRL, MKD, ROM, RUS, SRB, SVK, SVN, TUR, UKR, USA"
hup,Hupa,USA
hut,Hutu,"BDI, COD, RWA"
iba,Iban,IDN
ice,Icelanders,"CAN, ISL, NOR, USA"
ibo,Igbo,"CMR, GBR, GHA, GNQ, JAM, JPN, NGA, SLE, TTO, USA"
ijo,Ijaw,NGA
ilo,Ilocono,"PHL, USA"
idn,Indian,"ARE, AUS, BHR, CAN, FRA, GBR, GUY, IND, KWT, MMR, MUS, NPL, SGP, OMN, SAU, USA, TTO, ZAF"
idg,Indigenous,"PHL, MEX, COL, ECU, LBR, CAN, USA"
ind,Indonesian,"ARE, AUS, CAN, IDN, JPN, KOR, MYS, NLD, PHL, SAU, SGP, SUR, USA"
inh,Ingush,"KAZ, RUS, TUR"
iku,Inuit,CAN
ipk,Inupiat,"CAN, USA"
ira,Iranian,"ARE, AUS,AUT, CAN, CHE, BHR, DEU, DNK, ESP, FRA, GBR, IRN, ISR, ITA, JPN, KWT, MYS, NLD, NOR, PHL, RUS, TUR, SWE, USA"
gle,Irish,"ARG, AUS, CAN, GBR, IRL, MEX"
iro,Iroquois,"CAN, USA"
ita,Itallian,"AUT, CHE, DEU, ESP, FRA, HRV, ITA, SVN, USA"
jpn,Japanese,"ARG, AUS, BOL, BRA, CAN, CHL, CHN, DEU, FSM, GBR, IDN, ITA, JPN, KOR, MEX, NZL, PER, PHL, PRY, SGP, THA, USA, VNM"
jav,Javanese,"IDN, MYS, NLD, SUR"
jew,Jewish,"ARG, CAN, ISR, IRN, POL, RUS, USA"
jin,Jino (Jinuo),CHN
jol,Jola (Diola),"GMB, GNB, SEN"
kbd,Kabarday (Kabardins),"GEO, JOR, RUS, TUR"
kby,Kabye (Kabre),TGO
kab,Kabyle,"CAN, DZA, FRA, USA"
kac,Kachin,"CHN, IND, MMR"
kad,Kadazan,MYS
kak,Kakwa-Nubian,UGA
kal,Kalaallit,DNK
car,Kali'na,"BRA, GUY, SUR, VEN"
xal,Kalmyk,"CHN, MNG, RUS"
kam,Kamba,KEN
kan,Kannada,IND
kau,Kanuri (Kanouri),"CMR, NER, NGA, TCD"
kao,Kaonde,"COD, ZMB"
pam,Kapampangan,"CAN, PHL, USA"
kch,Karachays (Karachai),"KAZ, RUS, SYR, TUR, USA"
kaa,Karakalpak,"KAZ, RUS, TKM, TUR, UZB"
krm,Karamojong,UGA
krl,Karelians,"BLR, EST, FIN, RUS"
kar,Karen (Kayin),"MMR, THA"
kas,Kashmiri,"GBR, IND, PAK"
csb,Kashubian,"CAN, DEU, POL"
kav,Kavango,NAM
kaz,Kazakhs,"CHN, DEU, IRN, KAZ, KGZ, MNG, RUS, TKM, UKR, UZB"
khk,Khakas,RUS
kha,Khasi,IND
khm,Khmer (Khmer Loei),"AUS, BEL, CAN, FRA, KHM, KOR, LAO, MYS, NZL, THA, USA, VNM"
khu,Khmu,"CHN, LAO, MMR, THA, USA, VNM"
khi,Khoikhoi,"NAM, ZAF"
kik,Kikuyu,KEN
kin,Kinyarwanda Speakers,COD
gil,Kiribati,"FJI, KIR, MHL, NRU, SLB, TUV, VUT"
kis,Kisii,KEN
kok,Kokani,IND
kom,Komi (Komi-Permyaks),RUS
kon,Kongo (Bakongo),"AGO, COD, COG"
kno,Kono,SLE
kor,Korean,"ARG, AUS, BRA, CAN, CHN, DEU, FRA, GBR, IDN, IND, JPN, KAZ, KGZ, KHM, KOR, MYS, NZL, PHL, PRK, RUS, SGP, THA, UKR, USA, UZB, VNM"
kos,Kosraean,FSM
kou,Kouyou,COG
kpe,Kpelle (Guerze),"GHA, LBR"
krh,Krahn (Guere),LBR
kro,Kru,"CIV, LBR"
kut,Ktunaxa,"CAN, USA"
kum,Kumyks,RUS
kur,Kurd,"ARM, AZE, DEU, FRA, GBR, IRN, IRQ, ISR, LBN, NLD, SWE, SYR, TKM, TUR"
brm,Kurichiya (Hill Barhmins),"IND, NPL"
kru,Kurukh,"BGD, IND"
kua,Kwanyama,"AGO, NAM"
kir,Kyrgyz (Kirghis/Kirgiz),"CHN, KGZ, RUS, TJK, TUR, UKR, UZB"
lhu,Lahu,"CHN, LAO, MMR, THA, VNM"
lak,Lak (Russia),RUS
lam,Lamba,"BEN, TGO"
lao,Lao,"CHN, KHM, LAO, MMR, MYS, THA, VNM"
lar,Lari,COG
ltn,Latinos,"CAN, USA"
ltk,Latoka,SDN
lav,Latvian,"BRA, CAN, DEU, ESP, EST, GBR, IRL, KAZ, LTU, LVA, NOR, NZL, RUS, SWE, UKR, USA"
del,Lenape,"CAN, USA"
len,Lenca,"HND, SLV"
lez,Lezgian (Lezgins),"AZE, RUS"
lii,Li,CHN
lba,Limba,"CMR, SLE"
lim,Limburgian,"BEL, DEU, NLD"
lin,Lingala,"COD, COG"
lsu,Lisu,"CHN, IND, MMR, THA"
lit,Lithuanian,"AUT, BLR, BRA, CAN, DEU, ESP, FRA, IRL, ISL, LTU, LVA, POL, RUS, USA, ZAF"
lom,Lomwe (Nguru),"MOZ, MWI"
lov,Lovale,"AGO, ZAM"
dsb,Lower Sorbian,DEU
loz,Lozi (Barotse),"AGO, BWA, NAM, ZMB"
lua,Luba-Kasai,COD
lub,Luba-Katanga,COD
lgb,Lugbara,"COD, UGA"
luh,Luhya,"KEN, TZA, UGA"
lui,Luiseno,USA
lul,Lulua,COD
mno,Lumad,PHL
lun,Lunda,"AGO, COD, ZMB"
luo,Luo,"COD, ETH, KEN, SDN, TZA, UGA"
lus,Lusei,"BGD, IND, MMR"
ltz,Luxembourgers,"ARG, BEL, BRA, FRA, LUX, USA"
mas,Maasai,"KEN, TZA"
mac,Macedonian,"ALB, AUS, BEL, BIH, CHE, CZE, DEU, DNK, FRA, GBR, GRC, HRV, HUN, ITA, MKD, NOR, SRB, SVK, SVN, SWE, TUR, USA"
mdh,Madhesi,NPL
mdi,Madi,"SDN, UGA"
mad,Madurese (Madura),IDN
maf,Mafwe,"IDN, NAM"
mag,Magahi,IND
mai,Maithili,"IND, NPL"
mak,Makassarese,IDN
mok,Makonde (Makonde-Yao),"MOZ, TZA"
