ethnic_group_code,ethnic_group,ethnic_group_countries
snd,Sindhi,"CHN, IND, PAK"
sin,Sinhalese,"AUS, CAN, GBR, IND, ITA, LKA, MYS, NZL, SGP, USA"
sio,Siouan,"CAN, USA"
dak,Sioux,USA
sla,Slavic,"BIH, BLR, CZE, HRV, MKD, MTN, POL, RUS, SRB, SVK, SVN, UKR"
slo,Slovaks,"AUS, AUT, BEL, CAN, CZE, DEU, FRA, GBR, HRV, HUN, IRL, POL, ROM, SRB, SVK, UKR"
slv,Slovenes,"ARG, AUT, BEL, BIH, BRA, CAN, CHE, DEU, FRA, HUN, NLD, ITA, SRB, SVN, URY, USA"
som,Somali,"ARE, CAN, DJI, DNK, ETH, GBR, KEN, SAU, SOM, SWE, USA, YEM"
son,Songhai,"MLI, NER"
snk,Soninke,"GHA, GMB, GNB, MLI, MRT, SEN"
wen,Sorbs,DEU
sot,Sotho,"LSO, ZAF"
nbl,South Ndebele,ZAF
umb,Southern Mbundu,AGO
spa,Spanish,"ARG, AUS, BRA, CHE, CUB, DEU, ESP, FRA, GBR, MEX, PER, URY, VEN"
srn,Sranan Tongo,SUR
bsu,Subiya (Basubia),"BWA, NAM, ZMB"
sat,Sudanese,"IDN, SDN"
sui,Sui,"CHN, VNM"
suk,Sukama,TZA
sus,Susu,"GIN, SEN, SLE, MLI"
swa,Swahili,"TZA, KEN, MOZ, COM"
ssw,Swazi,"LSO, MOZ, SWZ, ZAF"
swe,Swedes,"AUS, CAN, DEU, DNK, ESP, FIN, FRA, GBR, ITA, NOR, SWE"
swf,Swiss French,CHE
gsw,Swiss Germans,"AUT, CHE, DEU, ITA"
swt,Swiss Italian,CHE
tab,Tabasaran,RUS
tgl,Tagalog,PHL
tah,Tahitian,PYF
tai,Tai (Tha/Tai-Lu/Tai-Yuan),"CHN, LAO, MMR, THA, VNM"
twn,Taiwanese,"AUS, CAN, CHN, JPN, KOR, PHL, SGP"
tgk,Tajik (Pamir Tajiks),"AFG, CAN, CHN, DEU, IRN, KGZ, PAK, QAT, RUS, TJK, UZB, USA"
tms,Tama,"SDN, TCD"
tam,Tamil,"IND, LKA, MYS"
tat,Tatars,"AZE, BLR, CHN, EST, FIN, GEO, KAZ, LTU, LVA, MDA, POL, ROM, RUS, TJK, TKM, TUR, UKR, USA, UZB"
taw,Tawahka,HND
tay,Tay,VNM
tel,Telugu,IND
tem,Temne,SLE
ter,Terenan,BRA
trn,Ternate,IDN
tes,Teso,"KEN, UGA"
tet,Tetum,"AUS, IDN, PRT, TMP"
tha,Thai,"AUS, CHN, FRA, JPN, KHM, LAO, MMR, MYS, SGP, THA, VNM, USA"
tib,Tibetan,"BTN, CAN, CHE, CHN, IND, NPL, USA"
tir,Tigray-Tigrinya (Tigry),"DJI, ERI, ETH, ISR, ITA, SDN, YEM"
tig,Tigre,"ERI, SDN"
tiv,Tiv,"CMR, NGA"
tli,Tlingit,"CAN, USA"
tpi,Tok Pisin,PNG
tkl,Tokelauan,TKL
tog,Tonga (Africa),"MOZ, MWI, ZMB"
ton,Tonga (Pacic),TON
tor,Tooro,UGA
tou,Toubou,"LBY, NER, SDN, TCD"
tra,Transnistrians,"MDA, RUS"
tri,Tripuri,"BGD, IND"
tsi,Tsimshian,"CAN, USA"
tso,Tsonga (Tsonga-Chopi),"MOZ, SWZ, ZAF, ZWE"
tsn,Tswana,"BWA, ZAF"
tmh,Tuareg,"BFA, DZA, LBY, MLI, NER"
tuj,Tujia,CHN
tum,Tumbuka,"MWI, TZA, ZMB"
tup,Tupi (Tupi-Guarani),"ARG, BRA, PRY, URY"
tur,Turkish (Turks),"AUS, AUT, AZE, BEL, BGR, BIH, CAN, CHE, CYP, DEU, DNK, EGY, FRA, GBR, GRC, IRQ, KAZ, LBN, MKD, NLD, ROM, RUS, SAU, SWE, SYR, TUR, USA"
tuk,Turkmen,"AFG, IRN, IRQ, SYR, TKM"
tts,Tutsi (Tutsi-Banyamulenge),"BDI, COD, RWA"
tvl,Tuvaluans,TUV
tyv,Tuvans (Tuvinians),"CHN, MNG, RUS"
udm,Udmurt,RUS
ukr,Ukranian,"ARG, ARM, AZE, BLR, EST, GEO, GRC, ITA, KAZ, KGZ, LTU, LVA, MDA, POL, RUS, UKR, USA"
hsb,Upper Sorbian,DEU
bis,Urban ni-Vanautu,VUT
urd,Urdu,"IND, PAK"
uig,Uyghur (Uighur),"CHN, KAZ, KGZ, RUS"
uzb,Uzbeks,"AFG, CHN, KGZ, MNG, PAK, RUS, TKM, TJK, USA, UZB"
vaa,Va (Wa),"CHN, MMR"
vai,Vai,"LBR, SLE"
ven,Venda,"ZAF, ZWE"
vnz,Venezuelan,"CAN, COL, ESP, GBR, USA, VEN"
vie,Vietnamese (Kinh),"AUS, CAN, CHN, CZE, FIN, FRA, JPN, KHM, LAO, MYS, NLD, NOR, PHL, POL, RUS, THA, USA, VNM"
vil,Vili,COG
vot,Votes,"EST, RUS"
wak,Wakashan,CAN
wln,Walloons,"ARG, BEL, BRA, USA"
war,Waray,"CAN, DEU, PHL, USA"
was,Washoe,USA
wal,Welayta,ETH
wel,Welsh,"ARG, AUS, CAN, GBR, IRL, NZL, USA"
whi,Whites,"ARG, AUS, BRA, CAN, CHL, CRI, CUB, DEU, MEX, MLI, NAM, PER, URY, USA"
wol,Wolof,"GMB, MRT, SEN"
xho,Xhosa,ZAF
xib,Xibe,CHN
xnc,Xinca,GTM
sah,Yakuts,"CAN, CHN, RUS, UKR, USA"
yao,Yao (Africa),MWI
dao,Yao (Asia) (Dao),"CHN, LAO, THA, VNM"
yap,Yapese,FSM
iii,Yi,CHN
yor,Yoruba,"BEN, GHA, NGA, TGO"
yug,Yugur,CHN
ypk,Yupik,"RUS, USA"
zag,Zaghawa,"SDN, TCD"
zay,Zaidiyya (Zaydis),"SAU, YEM"
zap,Zapotec,MEX
zza,Zaza,"DEU, GEO, KAZ, NLD, TUR"
zen,Zenaga,"MAR, MRT"
zha,Zhuang,CHN
zom,Zomi (Chins),"BGD, IND, MMR"
zul,Zulu,ZAF
zun,Zuni,USA
